Date,Surface_Type,Surface_Condition,Pothole_Density,Slope_Angle_Degrees,Traffic_Density,Flood_Level_m,Access_Status,Dust_Level_PPM,Ground_Vibration_mm_s,Road_Temperature_C,Rainfall_mm,Soil_Moisture_%,Maintenance_Activity,Accident_Count,Road_Condition_Status
2025-01-01 13:00:00,Asphalt,Wet,2.87,22.23,32.15,1.94,Under Repair,184.0,19.78,31.31,12.92,55.0,None,0,Operational
2025-01-01 14:00:00,Soil,Dry,8.28,21.75,51.69,0.15,Safe,365.49,4.19,35.19,10.46,32.2,None,0,Operational
2025-01-01 15:00:00,Soil,Dry,8.18,20.83,26.1,0.16,Closed,329.48,25.29,27.07,44.47,27.2,None,0,Operational
2025-01-01 16:00:00,Asphalt,Dry,4.62,13.52,43.85,1.22,Safe,24.44,3.95,50.38,21.33,32.4,Ongoing,0,Operational
2025-01-01 17:00:00,Asphalt,Slippery,11.82,7.26,13.02,0.87,Safe,174.33,17.89,40.53,41.83,57.1,None,1,Severely Damaged
2025-01-01 18:00:00,Asphalt,Wet,0.74,16.81,93.25,1.08,Safe,154.41,15.73,38.56,5.58,30.3,Ongoing,0,Operational
2025-01-01 19:00:00,Asphalt,Wet,5.76,0.2,78.77,1.35,Under Repair,463.75,4.01,58.91,49.13,13.0,Ongoing,0,Severely Damaged
2025-01-01 20:00:00,Gravel,Wet,5.87,3.99,9.39,1.61,Closed,166.42,20.2,47.8,14.1,54.0,Ongoing,0,Operational
2025-01-01 21:00:00,Asphalt,Dry,1.37,16.86,55.91,0.23,Safe,458.21,19.65,44.3,39.96,35.5,None,0,Operational
2025-01-01 22:00:00,Soil,Dry,6.28,5.81,77.75,1.99,Safe,265.97,4.08,52.02,29.35,9.4,Ongoing,0,Operational
2025-01-01 23:00:00,Gravel,Wet,1.94,4.88,49.14,0.95,Safe,43.23,22.1,49.93,7.16,59.1,Ongoing,0,Operational
2025-01-02 00:00:00,Gravel,Dry,4.52,22.31,53.23,0.19,Safe,193.42,25.34,55.31,46.51,36.8,None,0,Operational
2025-01-02 01:00:00,Soil,Dry,1.41,23.76,74.44,1.22,Safe,39.29,0.22,28.03,16.32,8.6,None,0,Operational
2025-01-02 02:00:00,Soil,Wet,14.44,5.64,83.56,1.44,Safe,251.5,5.38,52.91,21.65,43.1,None,0,Severely Damaged
2025-01-02 03:00:00,Gravel,Wet,1.22,7.1,52.46,1.37,Safe,30.4,17.95,35.63,9.18,13.2,None,0,Operational
2025-01-02 04:00:00,Asphalt,Dry,7.94,10.53,23.85,1.36,Under Repair,122.64,10.5,29.75,1.94,44.6,None,0,Operational
2025-01-02 05:00:00,Mud,Wet,2.66,18.49,48.81,1.93,Safe,117.07,10.62,27.25,15.59,25.2,Ongoing,0,Closed
2025-01-02 06:00:00,Asphalt,Wet,11.0,7.39,50.8,1.54,Safe,150.09,7.24,56.47,17.14,14.8,None,0,Severely Damaged
2025-01-02 07:00:00,Gravel,Dry,7.45,10.28,35.28,1.55,Safe,20.14,17.3,32.02,6.47,21.0,None,1,Operational
2025-01-02 08:00:00,Gravel,Dry,2.09,6.7,7.96,1.61,Safe,407.71,27.59,40.89,40.87,8.0,Recently Completed,0,Operational
2025-01-02 09:00:00,Soil,Dry,12.92,16.04,49.61,0.58,Safe,340.67,12.99,38.08,8.51,39.6,None,0,Severely Damaged
2025-01-02 10:00:00,Gravel,Dry,4.17,20.5,64.68,0.8,Safe,60.95,8.69,33.11,38.17,5.5,None,0,Severely Damaged
2025-01-02 11:00:00,Soil,Dry,6.66,3.88,56.05,0.62,Safe,328.28,25.39,49.93,42.76,9.0,Ongoing,0,Operational
2025-01-02 12:00:00,Asphalt,Dry,1.56,18.9,19.56,1.69,Safe,100.55,9.01,31.72,30.07,45.5,None,0,Severely Damaged
2025-01-02 13:00:00,Asphalt,Wet,11.93,7.22,83.15,1.22,Safe,373.34,16.3,31.94,8.51,13.5,Ongoing,0,Operational
2025-01-02 14:00:00,Asphalt,Wet,8.58,13.69,41.96,0.23,Under Repair,328.36,27.34,36.46,36.97,22.5,None,0,Closed
2025-01-02 15:00:00,Soil,Wet,4.83,6.27,12.42,0.51,Under Repair,232.35,2.47,41.1,39.77,38.8,Ongoing,0,Operational
2025-01-02 16:00:00,Gravel,Dry,14.95,20.35,46.77,0.6,Under Repair,416.63,27.32,27.77,17.73,12.1,Ongoing,0,Operational
2025-01-02 17:00:00,Asphalt,Dry,13.98,18.51,10.69,1.88,Safe,118.81,22.51,53.83,10.85,50.5,None,0,Operational
2025-01-02 18:00:00,Gravel,Slippery,9.86,17.69,41.64,0.86,Safe,40.3,3.98,53.09,8.98,9.3,None,0,Operational
2025-01-02 19:00:00,Asphalt,Slippery,11.53,11.61,80.39,1.25,Under Repair,94.55,10.45,28.27,45.07,30.9,Ongoing,0,Operational
2025-01-02 20:00:00,Asphalt,Dry,8.48,6.82,38.17,1.35,Closed,231.55,18.88,32.82,3.78,20.7,None,0,Operational
2025-01-02 21:00:00,Asphalt,Dry,9.76,2.87,73.73,1.03,Safe,189.35,5.08,46.08,5.89,20.9,Ongoing,1,Operational
2025-01-02 22:00:00,Asphalt,Dry,8.42,3.94,45.4,1.16,Safe,388.49,15.18,39.59,22.05,31.8,None,0,Operational
2025-01-02 23:00:00,Soil,Dry,0.81,5.65,58.74,0.61,Safe,380.61,5.74,46.91,41.11,51.7,None,0,Operational
2025-01-03 00:00:00,Asphalt,Dry,1.81,5.78,62.52,0.36,Safe,456.12,26.25,28.55,15.29,20.3,None,1,Operational
2025-01-03 01:00:00,Asphalt,Wet,10.37,18.06,33.08,1.64,Safe,96.11,16.2,25.57,32.56,11.0,None,1,Closed
2025-01-03 02:00:00,Asphalt,Dry,7.4,19.94,42.2,0.05,Under Repair,346.98,23.77,50.61,1.26,12.0,Recently Completed,1,Operational
2025-01-03 03:00:00,Soil,Slippery,8.69,12.83,22.37,0.49,Safe,150.9,2.14,32.74,48.35,41.1,None,0,Operational
2025-01-03 04:00:00,Soil,Slippery,9.65,1.17,45.18,1.53,Safe,460.68,4.63,59.31,22.69,14.6,Recently Completed,1,Operational
2025-01-03 05:00:00,Asphalt,Dry,1.06,17.01,66.8,0.31,Safe,364.41,7.01,43.91,3.66,27.4,Recently Completed,0,Closed
2025-01-03 06:00:00,Gravel,Wet,5.78,18.73,32.43,1.94,Safe,479.1,15.01,36.07,45.06,38.4,None,0,Operational
2025-01-03 07:00:00,Asphalt,Dry,13.93,10.59,33.6,1.24,Safe,189.17,19.23,36.67,25.8,45.3,None,0,Operational
2025-01-03 08:00:00,Gravel,Dry,2.39,1.65,25.97,0.5,Safe,122.16,11.39,59.89,22.71,24.6,Recently Completed,0,Operational
2025-01-03 09:00:00,Asphalt,Dry,4.79,8.37,23.99,0.47,Safe,332.81,29.33,53.48,17.13,24.5,None,0,Operational
2025-01-03 10:00:00,Gravel,Dry,14.34,11.78,57.33,0.78,Safe,478.61,26.38,45.29,41.89,28.8,Ongoing,0,Severely Damaged
2025-01-03 11:00:00,Asphalt,Dry,8.64,5.23,11.99,0.6,Safe,421.06,0.18,25.87,12.95,51.1,None,0,Operational
2025-01-03 12:00:00,Soil,Dry,0.2,8.15,65.43,0.01,Safe,401.68,4.52,57.86,34.99,43.9,None,0,Operational
2025-01-03 13:00:00,Asphalt,Dry,1.47,0.1,37.33,1.59,Safe,145.25,22.17,48.42,41.78,18.2,Ongoing,0,Severely Damaged
2025-01-03 14:00:00,Asphalt,Dry,10.34,20.62,12.99,1.98,Safe,246.78,20.16,28.17,31.8,6.6,Ongoing,0,Operational
2025-01-03 15:00:00,Soil,Dry,3.09,15.06,75.48,1.47,Under Repair,486.65,24.24,44.78,7.09,5.2,Ongoing,0,Severely Damaged
2025-01-03 16:00:00,Asphalt,Dry,10.05,16.28,47.45,1.53,Safe,356.07,3.99,34.44,13.76,56.4,None,0,Closed
2025-01-03 17:00:00,Asphalt,Dry,9.34,22.92,99.93,0.69,Safe,37.94,19.66,35.4,41.71,9.7,None,0,Operational
2025-01-03 18:00:00,Soil,Slippery,10.79,6.01,61.16,1.32,Safe,214.23,25.71,40.94,8.71,49.3,None,0,Operational
2025-01-03 19:00:00,Mud,Wet,5.04,10.25,19.59,0.89,Safe,496.32,24.25,45.04,20.81,53.3,Ongoing,0,Operational
2025-01-03 20:00:00,Mud,Dry,4.89,4.6,78.38,1.66,Safe,462.82,5.14,44.55,36.3,18.5,None,0,Operational
2025-01-03 21:00:00,Asphalt,Dry,2.57,18.95,62.75,0.92,Safe,191.64,23.74,51.13,6.82,21.4,None,0,Operational
2025-01-03 22:00:00,Soil,Wet,5.29,18.73,13.67,1.78,Safe,25.47,17.85,35.1,19.83,20.6,None,0,Operational
2025-01-03 23:00:00,Asphalt,Dry,14.06,3.7,42.31,1.08,Safe,30.66,19.35,59.91,16.61,25.0,None,0,Operational
2025-01-04 00:00:00,Soil,Dry,2.81,9.31,15.17,1.01,Safe,360.07,14.86,47.85,21.54,34.7,Ongoing,0,Operational
2025-01-04 01:00:00,Asphalt,Wet,1.52,0.26,73.32,1.26,Under Repair,103.15,25.7,56.48,33.03,44.7,Ongoing,0,Operational
2025-01-04 02:00:00,Asphalt,Dry,11.56,11.23,10.08,0.97,Safe,12.53,29.31,33.41,24.02,42.8,None,1,Closed
2025-01-04 03:00:00,Asphalt,Dry,5.28,19.08,84.1,0.97,Safe,329.85,4.42,33.28,12.47,39.4,None,0,Operational
2025-01-04 04:00:00,Mud,Dry,11.38,1.78,51.42,1.27,Under Repair,201.65,25.35,38.9,18.66,37.6,Recently Completed,0,Operational
2025-01-04 05:00:00,Asphalt,Dry,1.97,0.53,7.55,0.25,Safe,14.36,7.61,44.61,37.4,53.6,None,0,Operational
2025-01-04 06:00:00,Mud,Dry,13.52,1.57,59.66,0.85,Safe,86.18,16.31,50.34,34.7,11.7,None,0,Severely Damaged
2025-01-04 07:00:00,Asphalt,Slippery,10.68,22.12,53.71,1.29,Safe,65.5,22.11,32.08,2.7,15.7,None,0,Operational
2025-01-04 08:00:00,Asphalt,Wet,11.76,24.57,20.65,0.26,Safe,22.13,21.26,53.52,3.17,41.4,None,0,Operational
2025-01-04 09:00:00,Mud,Dry,4.8,13.13,23.01,0.97,Safe,228.69,7.43,58.55,5.69,20.6,None,0,Operational
2025-01-04 10:00:00,Gravel,Dry,12.56,0.21,44.92,1.62,Safe,409.45,6.78,53.01,31.43,31.6,None,0,Severely Damaged
2025-01-04 11:00:00,Gravel,Dry,9.12,17.57,69.1,1.0,Safe,324.19,4.62,39.51,4.99,21.6,None,0,Operational
2025-01-04 12:00:00,Asphalt,Dry,4.97,2.45,83.68,1.14,Safe,178.8,28.97,40.56,47.06,49.1,Ongoing,0,Closed
2025-01-04 13:00:00,Asphalt,Dry,1.35,13.38,62.42,0.65,Safe,216.38,18.55,41.78,37.61,22.5,Ongoing,0,Severely Damaged
2025-01-04 14:00:00,Asphalt,Dry,7.54,18.68,62.24,1.28,Safe,125.15,18.43,40.76,45.71,12.6,Ongoing,0,Operational
2025-01-04 15:00:00,Soil,Dry,11.69,21.86,15.63,1.39,Safe,130.95,8.81,56.66,35.46,23.7,None,0,Operational
2025-01-04 16:00:00,Gravel,Wet,5.14,10.06,90.57,0.29,Closed,226.42,16.09,55.14,17.05,46.4,None,0,Closed
2025-01-04 17:00:00,Soil,Wet,10.83,16.16,79.42,1.11,Under Repair,99.03,18.96,42.95,38.67,40.8,None,0,Operational
2025-01-04 18:00:00,Asphalt,Dry,11.76,17.75,26.79,0.25,Under Repair,115.97,13.61,25.07,48.92,58.6,None,0,Operational
2025-01-04 19:00:00,Asphalt,Dry,13.58,16.23,5.87,1.9,Closed,108.43,22.83,51.89,32.38,24.2,None,0,Operational
2025-01-04 20:00:00,Asphalt,Dry,14.18,3.3,59.15,1.59,Safe,117.54,2.43,51.96,8.52,38.7,Ongoing,1,Operational
2025-01-04 21:00:00,Asphalt,Dry,7.46,21.47,42.47,1.32,Closed,18.94,17.65,30.63,22.98,37.0,Ongoing,0,Operational
2025-01-04 22:00:00,Gravel,Dry,3.71,19.08,29.91,0.64,Safe,211.24,21.87,35.65,7.26,11.1,None,0,Operational
2025-01-04 23:00:00,Soil,Dry,8.23,22.0,53.34,1.62,Under Repair,63.13,4.66,53.45,3.62,41.4,None,0,Operational
2025-01-05 00:00:00,Soil,Dry,7.01,16.44,94.34,1.07,Closed,185.74,3.77,40.49,44.29,16.7,None,0,Operational
2025-01-05 01:00:00,Asphalt,Dry,11.03,17.64,23.59,0.66,Safe,309.54,18.6,45.95,8.58,56.1,Recently Completed,0,Operational
2025-01-05 02:00:00,Asphalt,Dry,13.75,8.9,19.48,0.21,Safe,51.68,17.48,45.42,20.32,59.4,Recently Completed,0,Severely Damaged
2025-01-05 03:00:00,Asphalt,Dry,1.97,8.09,46.56,1.68,Safe,14.2,3.75,54.07,34.56,50.9,None,0,Operational
2025-01-05 04:00:00,Asphalt,Wet,6.1,14.26,14.72,1.22,Safe,472.54,19.29,36.56,23.54,35.6,Recently Completed,0,Operational
2025-01-05 05:00:00,Asphalt,Dry,3.18,16.62,60.2,0.66,Safe,14.74,0.0,25.32,2.95,27.3,None,0,Operational
2025-01-05 06:00:00,Soil,Wet,14.69,23.79,99.45,1.16,Safe,78.21,15.76,34.3,10.47,36.7,Ongoing,1,Operational
2025-01-05 07:00:00,Mud,Dry,0.82,16.89,25.23,1.99,Under Repair,383.89,29.58,53.97,2.2,43.0,Recently Completed,0,Operational
2025-01-05 08:00:00,Asphalt,Dry,3.68,8.78,80.47,0.0,Safe,278.38,21.7,35.83,9.41,39.2,None,0,Operational
2025-01-05 09:00:00,Asphalt,Dry,14.24,4.86,38.85,1.17,Under Repair,318.97,9.7,52.49,18.34,25.2,None,0,Operational
2025-01-05 10:00:00,Mud,Dry,10.97,10.57,79.72,1.75,Safe,58.62,24.81,30.85,47.82,22.4,None,0,Operational
2025-01-05 11:00:00,Asphalt,Dry,7.17,3.46,51.56,0.18,Safe,378.28,27.22,55.29,1.14,58.5,None,0,Operational
2025-01-05 12:00:00,Mud,Wet,4.19,23.75,64.58,1.61,Safe,134.62,11.72,41.01,20.79,7.5,None,1,Operational
2025-01-05 13:00:00,Asphalt,Dry,14.9,15.37,23.62,0.84,Safe,283.42,25.57,58.86,10.19,31.9,Recently Completed,0,Closed
2025-01-05 14:00:00,Soil,Dry,6.77,3.55,97.93,0.54,Safe,60.97,26.5,51.41,40.29,19.0,Recently Completed,0,Severely Damaged
2025-01-05 15:00:00,Gravel,Dry,0.62,16.72,55.18,0.74,Under Repair,126.95,22.76,35.5,11.87,40.1,Ongoing,0,Operational
2025-01-05 16:00:00,Asphalt,Wet,7.77,10.92,36.37,0.84,Closed,96.49,6.26,29.72,33.14,29.1,Ongoing,0,Closed
2025-01-05 17:00:00,Soil,Dry,14.57,1.54,72.51,1.28,Safe,203.6,13.56,27.68,7.19,14.0,Recently Completed,0,Operational
2025-01-05 18:00:00,Mud,Dry,12.39,22.78,95.55,1.02,Under Repair,39.61,8.59,45.17,47.71,37.4,Recently Completed,0,Severely Damaged
2025-01-05 19:00:00,Asphalt,Dry,0.04,19.29,87.22,0.99,Under Repair,436.72,3.5,32.3,12.9,20.1,Ongoing,0,Closed
2025-01-05 20:00:00,Asphalt,Dry,8.75,5.71,83.1,0.8,Safe,355.88,2.23,47.36,34.82,11.7,None,0,Severely Damaged
2025-01-05 21:00:00,Gravel,Wet,3.26,2.73,31.46,1.94,Safe,398.05,1.8,37.63,27.33,32.6,None,0,Closed
2025-01-05 22:00:00,Asphalt,Wet,8.52,21.99,76.79,1.38,Safe,175.58,25.02,41.88,27.61,48.8,None,0,Operational
2025-01-05 23:00:00,Asphalt,Dry,3.45,10.8,76.82,1.82,Under Repair,86.44,27.73,33.6,19.52,44.6,None,0,Operational
2025-01-06 00:00:00,Gravel,Wet,9.09,10.18,28.49,1.79,Under Repair,452.58,10.88,58.7,39.86,50.8,None,0,Operational
2025-01-06 01:00:00,Gravel,Dry,7.66,10.85,7.22,1.35,Under Repair,192.48,9.56,46.89,34.66,16.9,Recently Completed,0,Operational
2025-01-06 02:00:00,Asphalt,Dry,9.8,16.14,37.97,0.66,Safe,71.3,20.69,58.86,15.22,57.6,None,0,Operational
2025-01-06 03:00:00,Asphalt,Wet,9.45,16.83,48.7,0.49,Safe,494.02,3.34,46.25,18.58,24.5,None,0,Operational
2025-01-06 04:00:00,Asphalt,Wet,5.82,4.52,12.26,0.34,Safe,444.74,23.65,53.4,12.44,8.8,Ongoing,0,Closed
2025-01-06 05:00:00,Soil,Dry,10.64,17.39,46.59,0.63,Closed,440.93,28.02,47.44,21.9,39.8,None,0,Operational
2025-01-06 06:00:00,Gravel,Dry,14.03,9.2,31.21,0.63,Closed,430.08,9.79,35.58,1.49,34.0,None,0,Operational
2025-01-06 07:00:00,Gravel,Wet,7.73,16.32,7.55,0.99,Safe,475.18,26.66,50.56,10.32,31.3,None,0,Operational
2025-01-06 08:00:00,Asphalt,Dry,5.33,2.94,29.98,0.26,Safe,180.99,21.33,25.29,49.09,15.7,Ongoing,0,Operational
2025-01-06 09:00:00,Soil,Dry,10.59,23.24,49.36,0.41,Safe,119.92,20.98,54.04,44.42,50.2,None,0,Operational
2025-01-06 10:00:00,Asphalt,Wet,2.55,14.31,73.7,1.04,Safe,313.68,24.62,32.21,25.44,28.1,Ongoing,0,Severely Damaged
2025-01-06 11:00:00,Asphalt,Dry,0.74,21.94,11.67,0.87,Safe,136.63,5.03,47.0,23.87,44.2,None,0,Severely Damaged
2025-01-06 12:00:00,Gravel,Dry,14.97,14.39,10.56,0.79,Under Repair,356.41,16.87,57.4,16.31,8.9,Ongoing,1,Closed
2025-01-06 13:00:00,Gravel,Dry,9.43,7.83,16.72,0.18,Under Repair,217.11,27.08,51.95,27.62,14.4,None,0,Operational
2025-01-06 14:00:00,Asphalt,Wet,1.28,8.02,87.32,1.69,Safe,451.34,17.09,27.44,19.25,43.8,None,0,Operational
2025-01-06 15:00:00,Gravel,Wet,6.21,13.85,74.33,1.28,Under Repair,387.21,15.17,29.49,43.41,9.1,None,0,Operational
2025-01-06 16:00:00,Soil,Dry,3.97,14.69,76.23,1.39,Safe,55.76,0.71,49.21,46.4,59.5,None,0,Severely Damaged
2025-01-06 17:00:00,Asphalt,Wet,9.8,2.3,70.82,1.55,Safe,145.88,19.27,34.78,46.7,58.1,Ongoing,0,Operational
2025-01-06 18:00:00,Soil,Dry,11.42,11.76,56.35,1.4,Safe,195.79,13.64,25.14,43.13,40.2,Recently Completed,0,Operational
2025-01-06 19:00:00,Asphalt,Slippery,4.67,16.95,28.64,0.25,Safe,14.92,20.56,51.94,12.08,42.3,Recently Completed,0,Severely Damaged
2025-01-06 20:00:00,Asphalt,Dry,7.01,20.21,41.28,1.98,Safe,79.59,15.47,51.96,23.1,48.5,Recently Completed,0,Operational
2025-01-06 21:00:00,Mud,Wet,11.9,22.71,76.53,1.98,Under Repair,132.24,29.69,45.52,45.78,19.7,Ongoing,0,Operational
2025-01-06 22:00:00,Gravel,Wet,0.15,7.58,53.27,0.17,Under Repair,462.52,24.35,52.46,13.21,41.1,None,1,Operational
2025-01-06 23:00:00,Soil,Wet,13.86,11.85,24.24,1.1,Under Repair,243.59,8.21,49.67,27.85,43.0,Ongoing,0,Operational
2025-01-07 00:00:00,Asphalt,Slippery,7.07,18.31,17.15,1.22,Safe,262.61,2.0,28.12,41.7,45.1,Recently Completed,0,Operational
2025-01-07 01:00:00,Gravel,Wet,5.15,3.63,32.23,1.41,Safe,176.77,4.25,36.57,12.13,51.8,None,1,Operational
2025-01-07 02:00:00,Soil,Dry,1.34,10.87,54.01,0.15,Safe,409.31,10.25,56.51,40.44,31.4,None,0,Severely Damaged
2025-01-07 03:00:00,Mud,Dry,2.7,19.1,72.26,1.23,Safe,116.39,6.23,44.67,37.83,37.4,None,0,Operational
2025-01-07 04:00:00,Gravel,Wet,14.37,0.62,29.55,1.84,Safe,62.95,0.37,49.06,25.96,17.7,Recently Completed,1,Operational
2025-01-07 05:00:00,Asphalt,Wet,13.07,7.67,66.96,0.71,Under Repair,310.71,13.76,44.14,45.31,26.2,None,0,Operational
2025-01-07 06:00:00,Gravel,Dry,9.03,7.39,39.48,0.64,Safe,467.42,14.71,28.79,36.41,39.0,None,0,Operational
2025-01-07 07:00:00,Soil,Dry,9.7,5.93,50.03,1.03,Safe,298.25,21.69,38.48,11.47,28.6,None,0,Operational
2025-01-07 08:00:00,Asphalt,Slippery,12.43,12.36,96.33,1.3,Safe,90.1,18.36,32.06,6.9,49.4,None,0,Operational
2025-01-07 09:00:00,Asphalt,Dry,11.73,2.61,85.89,1.33,Safe,244.84,20.34,52.33,49.76,15.9,Ongoing,0,Operational
2025-01-07 10:00:00,Gravel,Dry,10.38,23.07,46.74,0.87,Safe,144.62,2.79,50.82,28.29,38.6,None,0,Operational
2025-01-07 11:00:00,Soil,Dry,11.3,14.12,92.55,1.84,Safe,292.0,13.57,33.6,0.09,17.6,None,0,Operational
2025-01-07 12:00:00,Soil,Wet,3.45,2.09,96.29,0.26,Safe,254.08,6.98,35.66,36.67,34.2,Recently Completed,0,Operational
2025-01-07 13:00:00,Soil,Dry,8.22,8.87,12.81,1.93,Safe,211.77,26.17,51.97,1.1,20.7,Ongoing,1,Severely Damaged
2025-01-07 14:00:00,Asphalt,Dry,13.61,19.73,93.02,1.75,Safe,265.59,13.02,35.28,5.35,17.8,None,0,Closed
2025-01-07 15:00:00,Asphalt,Wet,7.63,17.28,74.01,1.96,Safe,110.7,23.98,35.43,12.22,18.0,Ongoing,2,Operational
2025-01-07 16:00:00,Gravel,Wet,5.52,13.44,45.92,1.19,Safe,171.88,20.04,27.33,7.55,58.2,Ongoing,0,Severely Damaged
2025-01-07 17:00:00,Soil,Wet,2.26,7.41,64.08,0.85,Safe,360.11,26.06,43.25,10.83,6.4,None,0,Operational
2025-01-07 18:00:00,Asphalt,Dry,14.49,21.92,58.79,0.8,Closed,301.3,2.85,57.69,23.41,7.9,None,0,Operational
2025-01-07 19:00:00,Soil,Dry,9.08,20.36,94.64,0.27,Under Repair,51.33,12.7,42.94,39.02,36.3,Recently Completed,0,Severely Damaged
2025-01-07 20:00:00,Mud,Dry,0.82,1.59,94.31,1.83,Safe,39.69,1.49,41.33,23.49,45.6,Ongoing,0,Severely Damaged
2025-01-07 21:00:00,Gravel,Dry,0.47,18.1,14.84,0.22,Safe,471.7,1.42,33.67,47.32,43.7,Ongoing,1,Operational
2025-01-07 22:00:00,Soil,Dry,11.23,13.67,61.57,1.06,Safe,421.5,12.86,29.74,20.56,22.9,Ongoing,0,Operational
2025-01-07 23:00:00,Gravel,Wet,1.35,19.34,56.91,0.5,Safe,279.76,10.9,28.09,13.19,49.8,Ongoing,0,Operational
2025-01-08 00:00:00,Soil,Slippery,4.89,24.72,58.29,1.42,Safe,126.11,27.38,56.22,17.7,58.0,None,0,Operational
2025-01-08 01:00:00,Asphalt,Slippery,0.14,19.59,27.94,1.9,Safe,126.47,1.17,51.7,28.98,17.7,None,0,Operational
2025-01-08 02:00:00,Asphalt,Wet,3.46,13.12,79.27,0.98,Closed,464.31,12.43,39.53,22.19,28.3,None,0,Operational
2025-01-08 03:00:00,Asphalt,Dry,1.14,22.56,99.92,0.97,Safe,474.54,13.92,50.11,28.83,33.0,None,0,Severely Damaged
2025-01-08 04:00:00,Asphalt,Dry,8.29,1.21,92.78,0.7,Safe,410.97,0.25,43.14,33.04,38.1,None,0,Operational
2025-01-08 05:00:00,Asphalt,Wet,8.38,8.84,80.17,1.66,Under Repair,230.77,24.6,48.3,49.05,42.4,Ongoing,0,Severely Damaged
2025-01-08 06:00:00,Gravel,Dry,1.79,1.76,35.51,0.13,Safe,192.27,29.07,38.23,49.57,44.9,None,0,Operational
2025-01-08 07:00:00,Asphalt,Wet,8.54,21.42,82.63,1.16,Closed,359.65,26.19,56.51,14.81,53.1,Ongoing,0,Operational
2025-01-08 08:00:00,Asphalt,Dry,6.51,2.85,44.04,1.39,Safe,94.94,29.63,48.67,47.45,54.5,None,0,Operational
2025-01-08 09:00:00,Asphalt,Dry,5.47,1.21,87.8,0.15,Safe,197.28,9.41,52.81,21.4,19.6,None,0,Operational
2025-01-08 10:00:00,Soil,Slippery,9.22,5.49,84.72,0.56,Safe,398.46,22.36,38.08,8.45,59.5,Ongoing,0,Severely Damaged
2025-01-08 11:00:00,Asphalt,Dry,2.06,11.65,42.91,1.68,Closed,476.85,16.11,52.11,0.02,22.0,Ongoing,0,Operational
2025-01-08 12:00:00,Asphalt,Dry,10.28,2.96,71.08,0.48,Safe,476.8,4.92,50.38,35.42,45.1,None,0,Operational
2025-01-08 13:00:00,Asphalt,Dry,9.13,16.2,11.05,1.77,Safe,460.32,15.51,31.68,10.58,40.3,None,0,Operational
2025-01-08 14:00:00,Gravel,Dry,4.74,15.05,88.6,0.13,Under Repair,47.5,3.84,38.46,26.7,39.4,None,0,Operational
2025-01-08 15:00:00,Mud,Wet,10.96,1.02,20.6,1.46,Safe,349.91,22.53,42.08,41.34,24.4,None,0,Severely Damaged
2025-01-08 16:00:00,Asphalt,Dry,5.28,6.82,56.69,0.21,Closed,283.01,20.31,56.95,26.54,35.3,None,1,Operational
2025-01-08 17:00:00,Asphalt,Dry,9.71,5.95,28.88,1.4,Safe,395.74,18.07,30.59,21.55,38.0,None,1,Operational
2025-01-08 18:00:00,Soil,Slippery,9.93,17.9,23.97,0.89,Safe,89.09,14.43,56.96,47.97,20.9,Recently Completed,0,Operational
