Record_Timestamp,Logistics_ID,Date,Route_Code,Origin_Location,Destination_Location,Cargo_Type,Cargo_Weight_Tons,Transport_Mode,Vessel_ID,Machine_ID,Distance_km,Travel_Time_hr,Actual_Travel_Time_hr,Fuel_Used_Liters,Fuel_Cost_USD,Delivery_Status,Delay_Cause,CO2_Emission_kg,Driver_ID,Delivery_Risk_Level
2025-01-01 10:00:00,LG_11,2025-01-01,R2,Processing Plant,Port Beta,General Cargo,2557.1,Truck,VS_44,MCH_292,115.6,35.7,54.2,416.2,1730.35,Delivered,Weather,2009.1,DRV_167,Low
2025-01-01 11:00:00,LG_12,2025-01-01,R2,Mine B,Port Alpha,General Cargo,1411.7,Truck,VS_145,MCH_560,974.8,62.5,73.7,604.9,3241.74,In Transit,None,385.3,DRV_85,High
2025-01-01 12:00:00,LG_13,2025-01-01,R3,Mine A,Port Beta,Fuel,226.6,Train,VS_145,MCH_450,956.1,24.0,26.3,854.3,699.3,Delivered,None,472.0,DRV_93,Low
2025-01-01 13:00:00,LG_14,2025-01-01,R1,Processing Plant,Port Alpha,Coal,4043.2,Truck,VS_172,MCH_604,147.0,13.7,35.8,871.3,3695.5,Delayed,Weather,2210.4,DRV_159,Medium
2025-01-01 14:00:00,LG_15,2025-01-01,R3,Mine B,Port Alpha,Nickel,1085.1,Truck,VS_115,MCH_896,492.4,40.9,37.8,80.0,1623.14,In Transit,None,2894.3,DRV_136,Medium
2025-01-01 15:00:00,LG_16,2025-01-01,R2,Mine B,Smelter Gamma,Iron Sand,2210.8,Truck,VS_153,MCH_588,873.5,16.8,2.7,881.2,2544.38,Cancelled,Mechanical,2052.9,DRV_4,Low
2025-01-01 16:00:00,LG_17,2025-01-01,R5,Warehouse C,Port Alpha,Coal,1117.4,Truck,VS_53,MCH_298,391.7,70.1,13.7,1327.0,1245.96,Delayed,None,1724.6,DRV_58,Medium
2025-01-01 17:00:00,LG_18,2025-01-01,R5,Processing Plant,Smelter Gamma,Iron Sand,2761.3,Vessel,VS_185,MCH_676,414.5,18.4,80.1,1970.5,4815.04,In Transit,Traffic,2724.3,DRV_106,Low
2025-01-01 18:00:00,LG_19,2025-01-01,R5,Mine A,Port Beta,Coal,2196.5,Vessel,VS_99,MCH_756,100.4,4.7,5.3,400.8,4127.94,Delivered,Road,2925.6,DRV_41,Medium
2025-01-01 19:00:00,LG_20,2025-01-01,R3,Mine B,Warehouse Delta,General Cargo,2147.7,Truck,VS_109,MCH_402,478.3,27.8,51.7,981.9,190.09,Delivered,Weather,359.4,DRV_118,High
2025-01-01 20:00:00,LG_21,2025-01-01,R3,Warehouse C,Warehouse Delta,Iron Sand,2655.5,Truck,VS_21,MCH_176,538.7,21.1,46.3,985.3,2269.6,Delivered,Road,2636.4,DRV_7,Medium
2025-01-01 21:00:00,LG_22,2025-01-01,R4,Mine A,Port Beta,Coal,4062.8,Truck,VS_145,MCH_530,661.5,26.8,61.9,807.5,192.17,Delayed,Road,1531.5,DRV_25,Low
2025-01-01 22:00:00,LG_23,2025-01-01,R1,Processing Plant,Port Beta,General Cargo,1297.6,Truck,VS_159,MCH_470,384.9,21.5,21.9,1724.6,4850.76,Delayed,Mechanical,1968.9,DRV_228,Low
2025-01-01 23:00:00,LG_24,2025-01-01,R4,Mine B,Warehouse Delta,General Cargo,4202.5,Train,VS_173,MCH_335,307.6,64.0,24.6,1399.5,166.55,In Transit,Weather,2879.9,DRV_77,Low
2025-01-02 00:00:00,LG_25,2025-01-02,R3,Processing Plant,Smelter Gamma,Coal,3245.4,Truck,VS_96,MCH_646,996.1,39.4,78.0,1821.4,4515.42,Delayed,Mechanical,2907.3,DRV_239,Medium
2025-01-02 01:00:00,LG_26,2025-01-02,R5,Processing Plant,Warehouse Delta,Iron Sand,1228.3,Vessel,VS_35,MCH_430,451.5,27.2,65.6,1734.6,1084.76,In Transit,Traffic,929.5,DRV_21,Low
2025-01-02 02:00:00,LG_27,2025-01-02,R4,Processing Plant,Port Beta,Iron Sand,2855.8,Truck,VS_125,MCH_700,469.5,19.4,14.0,1005.1,869.46,In Transit,Weather,2831.8,DRV_236,Low
2025-01-02 03:00:00,LG_28,2025-01-02,R1,Warehouse C,Smelter Gamma,Iron Sand,4175.3,Vessel,VS_88,MCH_733,275.7,37.8,4.5,1244.8,2546.41,Delivered,Road,2497.8,DRV_234,Low
2025-01-02 04:00:00,LG_29,2025-01-02,R3,Warehouse C,Port Beta,Iron Sand,4916.5,Train,VS_158,MCH_824,741.3,4.3,7.8,1726.2,3390.44,In Transit,Traffic,1474.0,DRV_148,Medium
2025-01-02 05:00:00,LG_30,2025-01-02,R3,Warehouse C,Port Beta,Fuel,4397.9,Train,VS_115,MCH_471,794.2,15.2,83.3,1526.2,2054.84,In Transit,Mechanical,793.0,DRV_31,Low
2025-01-02 06:00:00,LG_31,2025-01-02,R5,Mine B,Port Alpha,Nickel,2728.3,Vessel,VS_20,MCH_985,834.9,24.1,45.5,1268.9,2973.86,Delivered,Weather,1754.1,DRV_158,Low
2025-01-02 07:00:00,LG_32,2025-01-02,R2,Mine B,Port Beta,Nickel,4783.5,Vessel,VS_2,MCH_662,906.4,56.4,31.2,1261.7,2108.05,Delivered,Road,1608.2,DRV_272,Low
2025-01-02 08:00:00,LG_33,2025-01-02,R1,Mine B,Port Beta,Iron Sand,3551.3,Truck,VS_133,MCH_128,401.1,19.7,11.7,727.8,3972.49,Delivered,Road,1704.2,DRV_224,Low
2025-01-02 09:00:00,LG_34,2025-01-02,R3,Processing Plant,Port Beta,Nickel,1267.3,Truck,VS_134,MCH_854,702.9,14.7,44.6,1919.2,459.12,In Transit,Weather,1802.5,DRV_106,High
2025-01-02 10:00:00,LG_35,2025-01-02,R3,Processing Plant,Smelter Gamma,General Cargo,4686.2,Truck,VS_166,MCH_554,570.7,13.7,29.9,1193.8,2174.9,Delayed,Road,1456.9,DRV_226,Low
2025-01-02 11:00:00,LG_36,2025-01-02,R2,Warehouse C,Port Beta,Nickel,2838.0,Vessel,VS_9,MCH_181,17.0,25.6,77.2,435.1,1632.06,In Transit,Mechanical,2133.6,DRV_158,High
2025-01-02 12:00:00,LG_37,2025-01-02,R1,Mine A,Warehouse Delta,General Cargo,1102.8,Truck,VS_192,MCH_473,622.0,22.7,76.5,1438.7,3079.27,In Transit,Mechanical,2698.6,DRV_126,Low
2025-01-02 13:00:00,LG_38,2025-01-02,R2,Mine A,Smelter Gamma,Iron Sand,1552.6,Train,VS_172,MCH_115,859.4,8.8,70.5,1506.6,415.59,In Transit,Mechanical,1642.3,DRV_173,Medium
2025-01-02 14:00:00,LG_39,2025-01-02,R3,Processing Plant,Warehouse Delta,Iron Sand,3600.2,Vessel,VS_99,MCH_559,917.1,34.1,79.2,984.5,1976.97,In Transit,Mechanical,1636.5,DRV_201,Low
2025-01-02 15:00:00,LG_40,2025-01-02,R3,Mine B,Warehouse Delta,Fuel,3211.1,Truck,VS_163,MCH_636,491.3,48.6,38.3,1266.7,2888.83,In Transit,Weather,872.7,DRV_162,Low
2025-01-02 16:00:00,LG_41,2025-01-02,R5,Processing Plant,Smelter Gamma,Nickel,4192.4,Vessel,VS_135,MCH_554,71.2,69.8,80.5,262.5,3674.26,In Transit,None,2449.5,DRV_36,Medium
2025-01-02 17:00:00,LG_42,2025-01-02,R3,Mine B,Warehouse Delta,General Cargo,1644.8,Train,VS_34,MCH_191,928.0,20.6,31.9,1845.6,1877.84,In Transit,None,1619.8,DRV_14,Low
2025-01-02 18:00:00,LG_43,2025-01-02,R3,Processing Plant,Port Beta,Iron Sand,1887.3,Vessel,VS_110,MCH_948,650.8,67.2,83.1,1886.9,1755.59,Cancelled,Traffic,1449.8,DRV_106,Low
2025-01-02 19:00:00,LG_44,2025-01-02,R1,Mine A,Smelter Gamma,Fuel,4636.8,Train,VS_133,MCH_866,561.8,66.4,79.6,1918.8,4797.66,Delivered,Mechanical,334.8,DRV_285,Low
2025-01-02 20:00:00,LG_45,2025-01-02,R4,Mine A,Port Alpha,Fuel,2802.2,Train,VS_78,MCH_493,114.4,15.4,52.8,1473.9,4822.79,In Transit,None,1474.2,DRV_86,Low
2025-01-02 21:00:00,LG_46,2025-01-02,R3,Processing Plant,Port Beta,Iron Sand,3312.3,Truck,VS_196,MCH_296,968.3,71.5,29.4,711.2,391.22,Delivered,Traffic,256.2,DRV_75,High
2025-01-02 22:00:00,LG_47,2025-01-02,R3,Mine B,Port Beta,Coal,4638.6,Truck,VS_121,MCH_464,807.5,16.3,40.0,1980.3,2638.47,In Transit,Traffic,2547.7,DRV_65,Low
2025-01-02 23:00:00,LG_48,2025-01-02,R5,Warehouse C,Port Beta,Fuel,850.6,Vessel,VS_164,MCH_929,56.9,8.9,7.7,1558.3,2757.79,In Transit,Road,2796.6,DRV_130,High
2025-01-03 00:00:00,LG_49,2025-01-03,R3,Mine A,Port Alpha,General Cargo,4710.0,Truck,VS_118,MCH_736,105.2,28.2,37.5,221.0,3416.0,In Transit,Traffic,2452.2,DRV_120,High
2025-01-03 01:00:00,LG_50,2025-01-03,R3,Mine A,Port Alpha,Nickel,2952.0,Vessel,VS_153,MCH_935,133.4,59.8,78.5,1408.8,1302.84,In Transit,Weather,342.2,DRV_228,Low
2025-01-03 02:00:00,LG_51,2025-01-03,R3,Processing Plant,Port Alpha,Coal,3859.5,Train,VS_9,MCH_800,198.9,34.3,49.4,569.4,1405.06,Delivered,None,493.3,DRV_190,Low
2025-01-03 03:00:00,LG_52,2025-01-03,R4,Mine B,Warehouse Delta,Iron Sand,814.0,Vessel,VS_185,MCH_494,921.4,41.6,84.3,918.2,927.11,In Transit,Mechanical,1532.6,DRV_173,Medium
2025-01-03 04:00:00,LG_53,2025-01-03,R1,Processing Plant,Port Alpha,Coal,1432.7,Vessel,VS_36,MCH_485,326.0,6.5,81.7,1936.9,3432.86,Delivered,Road,353.9,DRV_246,Low
2025-01-03 05:00:00,LG_54,2025-01-03,R1,Warehouse C,Port Alpha,General Cargo,4490.8,Vessel,VS_109,MCH_414,37.8,60.0,58.0,336.8,259.88,In Transit,None,517.5,DRV_11,Low
2025-01-03 06:00:00,LG_55,2025-01-03,R2,Warehouse C,Port Beta,Fuel,4470.6,Truck,VS_82,MCH_519,796.2,70.3,45.8,1447.0,1001.51,Delivered,Weather,242.9,DRV_252,Medium
2025-01-03 07:00:00,LG_56,2025-01-03,R3,Mine A,Port Beta,General Cargo,2298.0,Truck,VS_113,MCH_656,775.2,60.8,87.4,442.9,896.74,Delivered,Traffic,915.3,DRV_147,Low
2025-01-03 08:00:00,LG_57,2025-01-03,R5,Mine A,Port Alpha,General Cargo,4826.0,Truck,VS_143,MCH_995,200.7,24.3,64.1,1016.5,1669.83,Delivered,Traffic,2324.6,DRV_121,Medium
2025-01-03 09:00:00,LG_58,2025-01-03,R5,Mine A,Warehouse Delta,Fuel,4764.4,Train,VS_138,MCH_645,226.3,41.6,64.0,879.6,2650.87,Delivered,Road,1626.4,DRV_82,Low
2025-01-03 10:00:00,LG_59,2025-01-03,R5,Warehouse C,Port Alpha,Iron Sand,4097.1,Train,VS_188,MCH_666,226.4,21.1,21.9,308.4,4277.56,Delivered,Traffic,2722.0,DRV_266,Low
2025-01-03 11:00:00,LG_60,2025-01-03,R3,Mine A,Smelter Gamma,General Cargo,3946.0,Vessel,VS_12,MCH_434,670.0,8.9,72.5,660.8,4312.67,Delivered,Traffic,925.7,DRV_207,High
2025-01-03 12:00:00,LG_61,2025-01-03,R4,Mine A,Port Beta,Nickel,1452.9,Truck,VS_6,MCH_266,527.7,46.0,13.9,414.9,633.4,In Transit,Mechanical,1080.4,DRV_193,Low
2025-01-03 13:00:00,LG_62,2025-01-03,R1,Warehouse C,Warehouse Delta,Iron Sand,4888.7,Truck,VS_119,MCH_979,113.8,62.1,41.3,1817.1,4607.08,In Transit,Road,993.8,DRV_286,Medium
2025-01-03 14:00:00,LG_63,2025-01-03,R2,Mine B,Warehouse Delta,Iron Sand,1114.3,Vessel,VS_105,MCH_974,17.1,53.6,40.9,1847.4,2645.69,In Transit,None,2939.8,DRV_123,Low
2025-01-03 15:00:00,LG_64,2025-01-03,R3,Mine B,Port Beta,Coal,1241.4,Truck,VS_146,MCH_583,644.7,63.7,6.6,1679.1,1458.73,In Transit,Traffic,1447.4,DRV_237,Low
2025-01-03 16:00:00,LG_65,2025-01-03,R2,Mine B,Port Beta,Iron Sand,2261.1,Train,VS_114,MCH_243,625.1,72.0,15.5,1811.1,3637.0,In Transit,Road,302.7,DRV_206,Low
2025-01-03 17:00:00,LG_66,2025-01-03,R4,Warehouse C,Warehouse Delta,Fuel,3364.0,Truck,VS_151,MCH_478,25.0,2.2,81.8,1036.6,3776.39,Delivered,Traffic,836.8,DRV_110,Low
2025-01-03 18:00:00,LG_67,2025-01-03,R2,Mine B,Port Beta,Coal,3318.1,Train,VS_170,MCH_294,168.2,28.3,22.4,1987.0,3525.68,In Transit,None,1656.9,DRV_15,Low
2025-01-03 19:00:00,LG_68,2025-01-03,R3,Mine B,Port Alpha,Nickel,1916.5,Train,VS_100,MCH_300,618.4,68.3,59.0,1405.5,888.8,In Transit,Mechanical,563.8,DRV_118,Low
2025-01-03 20:00:00,LG_69,2025-01-03,R2,Mine B,Smelter Gamma,General Cargo,1386.7,Truck,VS_118,MCH_416,266.3,32.9,8.3,1391.2,4902.58,Delivered,Mechanical,312.1,DRV_21,High
2025-01-03 21:00:00,LG_70,2025-01-03,R4,Mine B,Port Beta,General Cargo,672.1,Truck,VS_88,MCH_799,233.3,14.3,57.4,1526.6,2097.87,Delivered,Road,494.8,DRV_197,Low
2025-01-03 22:00:00,LG_71,2025-01-03,R2,Warehouse C,Smelter Gamma,Coal,1403.0,Vessel,VS_141,MCH_927,980.5,18.8,28.4,1040.9,1348.68,In Transit,Traffic,229.7,DRV_186,Low
2025-01-03 23:00:00,LG_72,2025-01-03,R5,Mine A,Warehouse Delta,General Cargo,348.4,Truck,VS_17,MCH_873,161.9,64.2,74.1,1442.8,2580.01,Delivered,Mechanical,380.9,DRV_81,Low
2025-01-04 00:00:00,LG_73,2025-01-04,R3,Mine A,Port Alpha,General Cargo,2691.7,Vessel,VS_181,MCH_182,278.4,56.0,72.3,806.2,3110.1,Delivered,Mechanical,701.4,DRV_153,Low
2025-01-04 01:00:00,LG_74,2025-01-04,R2,Mine A,Port Beta,Fuel,3277.0,Truck,VS_103,MCH_925,908.6,66.8,72.9,685.9,576.75,In Transit,Mechanical,2624.1,DRV_151,Low
2025-01-04 02:00:00,LG_75,2025-01-04,R2,Processing Plant,Smelter Gamma,Iron Sand,1577.6,Vessel,VS_30,MCH_416,48.2,54.0,3.6,1343.9,4816.52,In Transit,None,1895.0,DRV_45,Low
2025-01-04 03:00:00,LG_76,2025-01-04,R2,Warehouse C,Warehouse Delta,Iron Sand,4195.9,Truck,VS_183,MCH_297,721.3,23.6,14.2,1600.3,4093.95,In Transit,Mechanical,505.2,DRV_113,Medium
2025-01-04 04:00:00,LG_77,2025-01-04,R3,Mine B,Warehouse Delta,General Cargo,723.0,Train,VS_106,MCH_381,648.7,43.2,23.0,1198.1,4759.97,In Transit,None,2815.0,DRV_72,Low
2025-01-04 05:00:00,LG_78,2025-01-04,R4,Mine B,Port Beta,Iron Sand,4856.3,Truck,VS_68,MCH_896,888.4,26.0,68.4,279.0,2562.55,In Transit,None,1417.0,DRV_195,Low
2025-01-04 06:00:00,LG_79,2025-01-04,R3,Processing Plant,Port Beta,General Cargo,2132.8,Vessel,VS_153,MCH_474,973.0,16.3,68.0,1036.9,1310.22,In Transit,Mechanical,656.0,DRV_199,Medium
2025-01-04 07:00:00,LG_80,2025-01-04,R2,Mine B,Warehouse Delta,Iron Sand,4013.6,Truck,VS_158,MCH_579,613.3,21.0,88.5,1476.7,3676.98,Delivered,None,1898.3,DRV_273,Medium
2025-01-04 08:00:00,LG_81,2025-01-04,R5,Processing Plant,Port Beta,Nickel,1808.0,Train,VS_97,MCH_321,988.0,7.3,68.7,1711.4,4828.66,In Transit,None,2375.0,DRV_139,Low
2025-01-04 09:00:00,LG_82,2025-01-04,R5,Processing Plant,Smelter Gamma,Coal,3359.5,Vessel,VS_174,MCH_370,486.9,45.7,8.8,680.8,274.81,Delivered,Mechanical,2969.4,DRV_61,Low
2025-01-04 10:00:00,LG_83,2025-01-04,R5,Mine A,Port Beta,Fuel,692.7,Truck,VS_18,MCH_767,53.4,55.4,73.7,684.6,2708.47,In Transit,Road,873.5,DRV_118,Medium
2025-01-04 11:00:00,LG_84,2025-01-04,R3,Mine B,Warehouse Delta,Coal,1084.1,Vessel,VS_125,MCH_234,470.9,9.6,60.9,221.8,4097.43,Delivered,None,2928.2,DRV_79,Low
2025-01-04 12:00:00,LG_85,2025-01-04,R3,Processing Plant,Port Alpha,General Cargo,3319.7,Train,VS_58,MCH_451,702.1,29.8,47.9,1630.0,4583.7,In Transit,Weather,2358.4,DRV_249,Low
2025-01-04 13:00:00,LG_86,2025-01-04,R5,Warehouse C,Smelter Gamma,Fuel,3630.0,Train,VS_105,MCH_852,323.9,15.5,85.6,1824.3,2233.76,In Transit,Traffic,1311.8,DRV_143,Low
2025-01-04 14:00:00,LG_87,2025-01-04,R5,Warehouse C,Warehouse Delta,Iron Sand,2963.3,Train,VS_11,MCH_914,700.7,43.3,68.6,1225.3,2603.33,In Transit,None,1506.5,DRV_252,Low
2025-01-04 15:00:00,LG_88,2025-01-04,R1,Mine A,Smelter Gamma,Fuel,1719.4,Train,VS_194,MCH_257,545.6,36.7,52.0,271.2,2752.85,In Transit,Mechanical,118.6,DRV_232,Low
2025-01-04 16:00:00,LG_89,2025-01-04,R3,Mine A,Smelter Gamma,Iron Sand,3689.5,Vessel,VS_74,MCH_561,812.3,50.2,70.4,1620.6,2090.38,Delivered,Traffic,732.4,DRV_176,Low
2025-01-04 17:00:00,LG_90,2025-01-04,R3,Processing Plant,Warehouse Delta,Coal,2151.8,Truck,VS_6,MCH_342,585.9,62.5,69.8,526.2,1641.19,In Transit,None,2849.8,DRV_266,Low
2025-01-04 18:00:00,LG_91,2025-01-04,R1,Processing Plant,Smelter Gamma,General Cargo,3410.2,Truck,VS_54,MCH_653,708.4,32.2,47.4,71.0,1171.92,Cancelled,Traffic,1953.4,DRV_267,Low
2025-01-04 19:00:00,LG_92,2025-01-04,R1,Warehouse C,Port Beta,Nickel,1277.6,Truck,VS_175,MCH_968,401.1,52.5,12.6,1118.0,3707.33,In Transit,Weather,2813.1,DRV_171,Medium
2025-01-04 20:00:00,LG_93,2025-01-04,R5,Mine B,Port Beta,Nickel,1503.4,Vessel,VS_189,MCH_890,369.4,64.1,27.6,410.6,2125.62,In Transit,None,1327.9,DRV_270,Low
2025-01-04 21:00:00,LG_94,2025-01-04,R4,Processing Plant,Port Alpha,Nickel,4363.4,Truck,VS_190,MCH_742,473.3,51.3,40.9,824.0,4210.04,In Transit,Mechanical,651.6,DRV_193,High
2025-01-04 22:00:00,LG_95,2025-01-04,R3,Mine A,Warehouse Delta,Coal,2000.7,Truck,VS_104,MCH_601,358.8,4.6,54.3,1812.5,1655.66,In Transit,Weather,284.9,DRV_206,Low
2025-01-04 23:00:00,LG_96,2025-01-04,R3,Mine A,Port Alpha,General Cargo,2678.5,Truck,VS_81,MCH_244,66.2,53.0,27.7,1212.0,4482.54,In Transit,None,428.9,DRV_95,Low
2025-01-05 00:00:00,LG_97,2025-01-05,R5,Processing Plant,Port Beta,Nickel,4773.0,Vessel,VS_57,MCH_297,174.5,18.6,86.7,748.8,2444.72,In Transit,Road,2749.8,DRV_10,Medium
2025-01-05 01:00:00,LG_98,2025-01-05,R4,Mine B,Warehouse Delta,Iron Sand,450.1,Train,VS_112,MCH_381,137.8,47.9,19.1,1548.5,358.01,In Transit,Mechanical,1509.6,DRV_18,Low
2025-01-05 02:00:00,LG_99,2025-01-05,R1,Warehouse C,Port Alpha,Nickel,765.4,Train,VS_179,MCH_104,985.9,40.2,33.1,639.8,937.94,Delayed,Weather,99.8,DRV_11,Low
2025-01-05 03:00:00,LG_100,2025-01-05,R2,Mine A,Smelter Gamma,Iron Sand,1788.3,Truck,VS_192,MCH_720,119.2,32.0,59.8,1458.3,765.04,Delivered,Traffic,2843.5,DRV_170,Medium
2025-01-05 04:00:00,LG_101,2025-01-05,R5,Mine A,Port Beta,Iron Sand,907.7,Truck,VS_94,MCH_516,979.1,54.6,56.9,1550.1,134.93,In Transit,None,226.6,DRV_274,High
2025-01-05 05:00:00,LG_102,2025-01-05,R4,Processing Plant,Smelter Gamma,Coal,4613.0,Truck,VS_195,MCH_960,694.0,54.4,30.7,1434.0,940.05,In Transit,Mechanical,1714.9,DRV_151,Low
2025-01-05 06:00:00,LG_103,2025-01-05,R4,Processing Plant,Port Beta,Nickel,3790.1,Truck,VS_101,MCH_542,663.1,24.2,65.1,451.9,3828.59,In Transit,Weather,1891.5,DRV_86,Medium
2025-01-05 07:00:00,LG_104,2025-01-05,R1,Warehouse C,Port Alpha,Fuel,4319.2,Truck,VS_180,MCH_970,183.3,69.3,31.3,969.4,2391.72,In Transit,Mechanical,578.2,DRV_15,Low
2025-01-05 08:00:00,LG_105,2025-01-05,R1,Processing Plant,Port Beta,Coal,2043.3,Truck,VS_26,MCH_118,933.3,2.6,56.0,1962.0,4509.45,Delivered,Weather,1534.2,DRV_213,Medium
2025-01-05 09:00:00,LG_106,2025-01-05,R5,Processing Plant,Warehouse Delta,Nickel,2108.8,Vessel,VS_5,MCH_811,348.9,48.0,33.5,1921.1,2357.74,Delivered,Road,842.8,DRV_264,Medium
2025-01-05 10:00:00,LG_107,2025-01-05,R4,Warehouse C,Port Beta,Fuel,2913.1,Train,VS_72,MCH_226,152.2,24.1,53.4,1240.8,4163.4,In Transit,Road,2144.5,DRV_11,Low
2025-01-05 11:00:00,LG_108,2025-01-05,R4,Mine A,Warehouse Delta,Fuel,4767.6,Truck,VS_57,MCH_108,32.9,59.2,63.3,854.1,431.0,Delivered,Mechanical,2677.1,DRV_253,Low
2025-01-05 12:00:00,LG_109,2025-01-05,R1,Mine A,Port Beta,General Cargo,1964.4,Vessel,VS_126,MCH_937,10.8,64.9,69.2,344.4,536.23,Cancelled,Weather,2620.9,DRV_282,Low
2025-01-05 13:00:00,LG_110,2025-01-05,R1,Mine B,Smelter Gamma,Coal,1686.6,Truck,VS_52,MCH_514,233.8,32.9,1.0,446.0,3112.06,In Transit,Weather,898.5,DRV_115,Low
2025-01-05 14:00:00,LG_111,2025-01-05,R3,Warehouse C,Smelter Gamma,Nickel,2939.9,Train,VS_147,MCH_146,260.2,19.2,42.4,199.5,1607.47,In Transit,None,666.5,DRV_204,Medium
2025-01-05 15:00:00,LG_112,2025-01-05,R2,Processing Plant,Smelter Gamma,General Cargo,2362.0,Vessel,VS_32,MCH_350,131.1,51.3,32.2,1396.3,4911.61,Delivered,Road,2943.0,DRV_86,Medium
2025-01-05 16:00:00,LG_113,2025-01-05,R3,Mine B,Warehouse Delta,Coal,4274.2,Vessel,VS_57,MCH_411,72.4,55.4,86.7,64.4,746.32,In Transit,Traffic,1957.3,DRV_98,Low
2025-01-05 17:00:00,LG_114,2025-01-05,R4,Processing Plant,Warehouse Delta,Iron Sand,585.6,Truck,VS_22,MCH_154,775.7,19.6,24.8,1023.5,3226.83,In Transit,Mechanical,489.7,DRV_298,Low
2025-01-05 18:00:00,LG_115,2025-01-05,R1,Warehouse C,Port Beta,General Cargo,2062.2,Truck,VS_173,MCH_164,481.2,31.0,65.4,1922.6,1182.08,Delivered,Weather,1807.4,DRV_58,Medium
2025-01-05 19:00:00,LG_116,2025-01-05,R2,Warehouse C,Smelter Gamma,General Cargo,4023.8,Vessel,VS_35,MCH_887,907.2,68.6,36.4,1164.7,4875.46,Delivered,Mechanical,323.4,DRV_42,Medium
2025-01-05 20:00:00,LG_117,2025-01-05,R4,Mine A,Warehouse Delta,Coal,4187.6,Vessel,VS_150,MCH_941,958.5,11.3,72.1,1965.1,1592.09,Delayed,Road,2063.3,DRV_109,Low
2025-01-05 21:00:00,LG_118,2025-01-05,R3,Processing Plant,Smelter Gamma,Nickel,1279.3,Vessel,VS_149,MCH_391,322.0,39.8,7.2,1634.3,2193.59,Delivered,Weather,1427.0,DRV_56,Medium
2025-01-05 22:00:00,LG_119,2025-01-05,R5,Warehouse C,Warehouse Delta,Coal,3660.6,Truck,VS_37,MCH_549,327.3,39.4,11.4,229.0,2265.51,Delivered,Road,207.9,DRV_153,Low
2025-01-05 23:00:00,LG_120,2025-01-05,R2,Warehouse C,Port Alpha,Nickel,3649.0,Train,VS_76,MCH_403,466.0,30.5,72.5,1933.3,3906.79,Cancelled,None,1203.7,DRV_120,High
2025-01-06 00:00:00,LG_121,2025-01-06,R4,Mine B,Port Alpha,General Cargo,1589.5,Vessel,VS_12,MCH_724,765.6,25.2,86.1,1805.4,4470.7,In Transit,Mechanical,2030.2,DRV_36,High
2025-01-06 01:00:00,LG_122,2025-01-06,R2,Processing Plant,Port Beta,Coal,3259.5,Truck,VS_128,MCH_930,696.5,63.5,53.7,1391.1,852.22,In Transit,Road,289.2,DRV_96,Medium
